Band	b.bright	Age	Sample	Treat1	Treat2	Treatment	Customer ID	CPG01	CPG02	CPG03	CPG04	CPG05	CPG06	CPG07	CPG08	CPG09	CPG10	CPG11	CPG12	CPG13	CPG14	CPG15	CPG16	CPG17	CPG18	CPG19	CPG20	CPG21	CPG22	CPG23	CPG24	CPG25	CPG26	CPG27	CPG28	CPG29	CPG30	CPG31	CPG32	CPG33	CPG34	CPG35	CPG36	CPG37	CPG38	CPG39	CPG40	CPG41	CPG42	CPG43	CPG44	CPG45	CPG46	CPG47	CPG48	CPG49	CPG50	CPG51	CPG52	CPG53	CPG54	CPG55	CPG56	CPG57	CPG58	CPG59	CPG60	CPG61	CPG62	CPG63	CPG64	CPG65	CPG66	CPG67	base1	stress1	dex1	base2	base3	stress3	dex3
272108041	57.53302602	ASY	180667	Dull	Control	Dull_Control	180667	63.0	42.9	61.8	53.0	42.0	33.8	60.7	71.0	93.1			0.5	75.9	62.0	42.2	66.3	33.9		45.1	75.0	49.1	0.0	2.8	1.4	4.2	8.2	1.4	2.8	2.8	7.9	3.9	5.1	6.0	0.0	7.0	6.8	10.2	4.4	8.7	3.3	5.4	75.9	50.4	90.2	77.3	71.2	56.7	49.0	21.7	54.1	81.5	51.3	60.6	79.1	72.3	68.7	78.8	72.7	76.0	66.7	0.0	73.5	74.1	50.0	0.0	78.3	80.4	2.452	24.86	10.733	2.41	1.933	19.095	6.944
272106635	55.86892129	SY	180669	Control	Control	Control_Control	180669	59.9	33.0	55.2	40.1	27.9	51.7	44.9	62.7	94.6			0.0	70.7	56.8	37.5	49.5	37.1		49.4	76.0	33.1	0.0	7.8	3.9	7.3	7.5	3.8	0.0	0.0	7.8	2.0	3.8	9.6	0.0	3.8	16.7	8.0	3.7	5.5	3.6	5.4	62.7	49.1	73.9	70.9	55.6	45.1	37.9	15.9	35.1	80.8	36.0	54.1	73.9	78.3	67.4	63.0	60.4	42.9	45.1	0.0	70.3	69.9	38.6	0.0	66.5	66.7	2.485	35.682	7.421	1.319	5.787	46.363	9.343
272107749	59.10693602	ASY	180670	Dull	Stress	Dull_Stress	180670	66.3	35.0	56.6	44.1	34.4	50.3	47.9	66.1	94.4	9.7	24.2	0.4	67.6	60.8	40.9	51.9	32.3	50.0	43.4	81.7	35.0	0.0	3.4	5.3	6.3	3.8	0.6	0.6	1.3	5.7	2.5	3.7	10.1	1.2	3.7	6.7	11.4	4.3	9.6	3.6	10.3	77.3	55.3	75.7	75.5	61.9	45.3	41.6	13.9	40.8	83.1	57.0	58.6	72.2	70.3	56.6	77.2	70.9	59.2	53.8	0.0	68.5	71.6	52.4	0.0	72.1	64.5	9.076	40.874	17.405	0.402	0.47	21.183	5.209
272106733	39.42396578	SY	180672	Control	Stress	Control_Stress	180672	56.3	36.2	53.6	46.3	33.0	45.4	34.2	63.9	92.8			0.0	76.3	58.5	39.1	36.4	32.2		50.0	85.2	33.1	0.0	0.0	1.6	7.6	20.0	0.0	1.6	0.0	17.5	3.2	7.8	9.4	3.0	12.9	12.3	28.8	16.7	18.5	6.2	10.9	12.5	8.5	83.7	82.4	50.9	43.0	41.2	11.3	59.8	89.8	54.8	60.4	77.6	78.6	56.5	69.8	62.7	48.1	46.3	0.0	67.2	62.3	53.3	0.6	71.5	66.7	0.512	41.61	16.608	0.908	4.363	40.898	14.87
272106901	59.0611585	SY	180681	Control	Stress	Control_Stress	180681	57.2	35.1	55.0	47.5	33.4	45.9	40.1	67.9	93.2		18.8	0.2	71.3	57.0	38.3	56.2	30.2	37.3	52.2	78.6	39.8	0.0	1.1	4.0	4.0	10.8	4.9	2.0	2.0	6.3	4.4	3.4	7.5	0.8	7.1	7.8	8.6	3.8	6.8	4.5	7.5	71.9	55.9	68.5	74.7	50.0	31.5	30.2	7.1	48.2	72.8	39.5	51.5	66.7	73.3	50.8	65.0	61.0	57.0	50.4	0.0	66.1	67.0	53.7	0.0	71.9	71.7	5.499	45.552	15.015	0.45	7.895	19.245	17.759
240134898	49.02787124	ASY	180686	Control	Stress	Control_Stress	180686	67.4	37.4	59.6	47.5	38.4	54.7	51.4	67.4	91.7	0.0	11.1	0.0	74.8	63.6	23.3	69.7	42.2	60.6	55.8	79.0	48.2	0.0	4.1	2.4	11.2	15.4	5.8	2.9	1.5	9.4	5.7	5.7	11.6	4.0	10.1	12.9	26.7	14.1	15.2	11.7	16.5						45.9	43.8	26.4	52.2	74.7	29.4	63.3	80.9	79.5	65.2	71.2	69.2	60.0	55.4	0.0	72.6	77.8	54.5	0.0	75.9	73.1	3.253	29.534	14.91	4.078	6.129	44.963	13.158
272107764	50.80049163	ASY	180688	Control	Stress	Control_Stress	180688	65.2	42.6	55.5	23.1	36.6	42.6	37.7	65.4	92.1			0.0	55.5	56.0	40.3	54.4	33.5	38.9	53.0	72.6	42.9	0.0	2.3	9.0	14.1	15.8	7.3	3.4	2.1	12.7	3.8	1.0	10.4	1.0	3.7	4.6	12.4	1.9	10.1	4.6	6.4	73.0	33.3	76.1	78.0	60.2	45.1	42.4	18.8	39.4	73.3	46.6	58.6	66.1	68.9	57.8	59.7	29.5	46.7	49.5	0.0	63.3	67.1	45.9	0.0	69.0	67.1	1.383	18.038	14.422		5.398	47.786	10.636
272107161	37.7671555	SY	180692	Dull	Control	Dull_Control	180692	63.9	44.5	57.6	43.1	37.2	44.1	37.8	68.0	93.3			0.0	73.5	67.7	42.3	56.7	32.3		63.5	72.4	18.6	0.0	2.4	15.0	11.9	11.6	6.8	7.1	2.4	6.8	2.3	2.2	20.0	6.8	20.5	24.4	34.9	24.4	35.4	6.4	17.0	1.3	59.3	80.7	35.7	59.0	39.5	39.3	10.9	52.0	77.3	44.2	62.6						52.5	55.9	0.0	71.4	68.3	44.9	0.0	75.0	72.8	0.215	19.75	6.954	0.464	10.75	15.945	6.248
272107599	41.96023135	ASY	180696	Control	Control	Control_Control	180696	59.2	40.6	55.5	44.1	33.3	47.7	37.2	68.6	92.5			0.0	69.8	73.8	40.8		35.7		55.6	70.8	31.3		0.0	0.0			3.2	0.0	6.3	12.5	0.0	0.0	3.1	0.0	6.1	6.3	18.8	3.1	3.0	3.0	6.1	78.4	50.7	68.5	63.9	47.8	41.9	36.4	7.3	44.9	78.5	43.6	54.5						71.2	70.6	0.0	70.1	75.5	46.0	0.0	76.0	73.5	0.95	60.287	31.527	4.747	0.807	78.421	28.818
272107298	41.08854855	ASY	180697	Dull	Stress	Dull_Stress	180697	59.5	34.9	56.8	50.0	32.4	62.7	59.3	69.5	90.9	6.3	33.3	0.0	76.6	60.3	37.2	42.4	37.1	41.9	60.3	75.9	48.1	0.0	3.0	5.1	4.8	9.5	2.6	1.4	1.3	10.3	5.8	3.9	16.2	3.8	11.3	5.0	15.0	7.8	13.9	5.2	11.5	74.0	47.3	77.3	76.3	63.0	50.8	43.8	24.8	50.7	84.8	39.9	52.7	64.1	55.3	46.2	65.8	65.8	58.0	60.9	0.0	68.9	69.0	51.0	0.0	70.0	65.7	0.746	28.429	19.297	0.031	19.541	46.495	16.654
232146953	53.53617432	ASY	180701	Dull	Control	Dull_Control	180701	62.9	46.2	66.4	49.6	41.0	59.0	53.4	71.8	93.5			0.0	54.6	59.8	48.2	46.7	36.5		62.4	86.2	37.1	0.0	7.1	5.5	14.0	23.6	9.1	3.6	3.9	13.6	6.6	10.2	16.7	8.3	10.3	11.9	23.6	6.8	11.9	8.5	6.9	76.7	64.7	81.7	81.0	62.4	41.5	32.3	3.0	45.4	86.3	42.8	54.4	76.0	75.4	56.5	29.4	28.3	63.9	52.9	0.0	74.8	75.7		0.4	74.3	73.9	0.475	39.247	16.773	3.178	0.494	34.158	25.15
272107802	51.75199305	SY	180703	Dull	Stress	Dull_Stress	180703	56.8	35.7	59.1	46.5	33.8	65.2	65.8	65.0	96.7			0.3	64.7	59.4	36.5	47.1	35.6	61.5	54.0	72.8	38.4	0.0	3.1	7.5	5.6	8.5	2.8	1.5	1.5	12.2	1.3	4.1	5.6	1.4	9.6	13.9	12.7	1.4	20.8	9.9	7.0	70.0	60.3	79.5	69.6	53.9	43.0	53.7	19.4	52.7	80.0	18.6	56.2	80.9	75.8	69.1	72.5	80.0	51.9	50.6	0.0	68.6	70.1	49.2	0.5	73.6	69.7	4.906	15.15	8.886	3.487	1.658	26.311	18.301
272106902	53.70777381	SY	180714	Dull	Control	Dull_Control	180714	63.0	35.5	56.7	45.7	35.2	46.2	36.8	67.6	95.4			0.0	65.7	61.5	37.4	62.6	35.6		60.7	78.8	32.4		0.0	5.9	0.0	2.9	2.8	0.0	2.6	2.2	2.2	0.0	4.3	4.3	8.9	10.6	12.5	6.3	6.0	6.0	2.0	75.5	62.6	82.5	73.3	54.6	54.8	55.6	27.1	41.0	81.3	37.2	57.7	82.4	88.2	61.8	66.7	76.5	60.4	71.4	0.3	68.2	74.2	50.9	0.0	76.9	67.5	1.758	13.961	11.652	1.249	1.221	19.708	6.579
272106908	47.70742763	SY	180715	Control	Stress	Control_Stress	180715	63.9	39.0	57.4	46.5	37.7	55.2	45.7	67.3	95.3			0.0	76.2	59.4	45.2	62.5	42.2	67.4	55.7	73.7	38.9	0.0	0.0	4.2	7.7	7.7	1.8	0.0	2.0	8.8	5.2	5.1	10.3	1.7	10.2	11.5	17.9	3.2	10.0	1.7	4.9	77.3	52.2	79.5	80.3	56.3	47.2	36.9	28.0	48.4	93.1	55.4	61.0	84.4	78.3	59.5	58.7	58.7	51.9	55.8	0.0	68.4	68.7	28.6	0.0	71.4		0.47	17.72	15.803	0.284	2.044	21.394	14.302
272107805	35.50548311	ASY	180720	Dull	Control	Dull_Control	180720	63.4	37.2	64.9	58.3	38.5	56.4	50.3	66.6	94.4	8.2	22.9	0.0	79.3	62.8	40.4	55.2	39.7	53.9	56.3	87.0	25.9	0.7	4.3	1.3	5.6	8.5	1.7	2.3	1.2	7.7	4.3	4.8	5.6	0.0	4.5	10.4	13.8	8.0	12.4	10.0	6.0	53.2	60.7	85.3	77.3	62.3	58.2	54.4	39.5	45.4	40.5	47.2	62.6	79.8	80.2	66.3	70.7	70.3	59.6	61.4	0.0	72.3	76.2	26.3	0.2	77.5	68.7	0.891	46.571	14.758	1.712	0.6	49.009	25.339
272106817	46.28504362	SY	180722	Control	Stress	Control_Stress	180722	65.2	43.1	58.2	52.4	36.6	51.4	43.3	68.1	94.2	5.7	35.2	0.2	77.3	63.8	42.7	55.2	47.5	61.8	53.9	74.6	39.1	0.0	3.1	5.3	4.8	6.2	4.3	3.2	2.2	6.1	3.1	5.2	7.8	1.5	5.7	7.9	15.4	5.3	5.4	2.1	3.7	81.5	50.7	81.8	78.5	62.6	56.4	55.0	28.6	46.6	81.8	49.2	60.9	81.2	75.0	66.3	80.0	72.4	58.1	51.6	0.0	67.0	74.8	51.0	0.2	80.9	69.5	0.249	12.814	10.361	2.416	1.551	31.198	12.205
272107748	52.36753916	ASY	180724	Control	Control	Control_Control	180724	56.5	38.2	57.6	50.9	37.0	43.1	34.0	68.1	92.5	2.0	34.7	0.0	69.3	74.4	49.9	53.8	34.7	50.9	50.3	75.7	40.5	0.4	2.2	8.5	13.2	11.9	7.7	0.8	2.4	10.5	7.9	5.7	13.2	2.6	8.0	9.4	21.2	9.5	9.7	7.5	10.4	40.7	45.5	75.8	72.0	48.6	49.5	44.9	17.3	42.1	42.1	44.3	61.3	84.1	84.3	67.4	77.0	77.0	64.7	61.4	0.0	71.8	72.6	50.0	0.0	76.8	68.3	12.973	7.099	8.675	0.68	1.797	14.494	9.502
272106903	43.80004461	SY	180727	Dull	Stress	Dull_Stress	180727	62.1	44.6	53.3	47.9	41.9	47.0	44.8	69.4	94.8	1.7	22.4	0.4	67.3	60.7	41.6	57.3	31.6	49.3	56.2	76.4	41.7	0.0	3.7	4.2	4.1	7.9	2.8	2.8	1.1	7.6	4.0	4.0	6.8	2.9	10.6	9.5	17.9	5.1	6.5	4.1	6.9	74.1	56.9	76.8	70.4	58.5	40.5	37.4	9.1	47.8	89.7	48.6	52.6	80.3	71.2	66.2	59.2	54.5	49.7	52.3	0.2	72.3	71.9	52.9	0.0	72.4	70.2	2.976	10.399	12.415	7.516	1.121	36.173	13.022
272107806	33.8910215	SY	180730	Control	Control	Control_Control	180730	66.4	31.3	60.9	49.0	33.9	63.4	56.6	70.4	91.2	5.9	26.7	0.7	73.0	64.6	41.9	56.1	32.9	57.4	49.1	77.7	37.0	0.0	0.0	4.3	6.4	12.3	5.8	3.0	0.8	11.9	5.1	5.0	10.0	1.4	12.3	8.5	16.9	7.4	14.8	5.9	8.8	78.9	62.3	85.0	72.4	62.0	48.4	45.6	18.7	51.4	81.9	21.3	60.3	83.7	73.8	65.9	79.5	63.6	56.9	58.0	0.0	72.7	71.9	59.5	0.0	77.5	70.7	2.646	47.145	13.408	0.204	1.476	43.711	21.982
272107807	38.11521886	ASY	180732	Control	Control	Control_Control	180732	61.3	34.2	53.7	22.3	32.0	46.9	38.8	68.0	91.9			0.0	67.0	54.5	38.0	46.9	31.5	34.4	48.4	77.1	36.6	0.0	4.5	7.1	15.3	18.3	9.3	6.0	2.1	15.0	9.1	14.0	16.0	8.3	11.5	18.0	24.2	11.1	11.0	12.0	12.0	72.4	63.2	78.9	77.9	57.7	38.0	32.2	7.5	41.3	77.3	34.5	53.9						49.3	54.4	0.0	66.7	40.6	54.4	1.9	83.5	71.1	0.47	1.677	12.888	4.789	0.47	1.737	2.775
272107811	52.89529535	ASY	180747	Control	Control	Control_Control	180747	67.5	47.1	61.3	51.1	36.4	39.1	29.6	70.9	92.4	1.6	22.0	0.0	72.8	65.9	43.4		33.0	52.9	57.3	80.3	41.4	0.0	4.5	6.3	11.0	12.8	7.2	2.8	0.9	9.9	3.3	3.7	7.4	3.2	6.8	7.4	11.5	6.2	7.9	4.2	6.0	77.1	58.3	78.6	72.8	55.3	48.0	47.0	16.4	31.2	77.8	19.9	66.0						68.1	60.4	0.0	72.8	69.6	51.3	0.7	78.8	74.5	0.666	11.184	6.676	2.852	2.988	34.269	12.684
272106711	51.24557821	ASY	180770	Control	Control	Control_Control	180770	66.0	38.4	59.2	48.0	36.3	45.5	32.9	67.5	90.9	8.3	23.5	0.6	78.7	58.9	43.2	66.7	40.1	51.1	55.4	80.3	36.5	0.0	1.8	3.4	6.8	13.2	2.8	1.8	2.4	9.0	3.8	3.8	7.6	0.5	10.1	6.8	21.2	4.2	8.9	5.4	10.0						48.9	39.8	14.0	48.3	88.7	51.8	61.5	67.4	80.9	65.2	73.5	78.4	53.2	51.4	0.2	76.9	79.3	52.5	0.5	81.9	72.9	0.724	15.691	6.608	4.738	0.666	12.636	6.974
272107258	54.42660467	SY	180773	Dull	Stress	Dull_Stress	180773	62.3	35.7	56.9	49.7	38.6	70.2	68.3	67.9	93.8	2.1	34.8	0.0	70.2	60.7	46.1	50.7	43.5	49.2	51.8	80.8	43.4	0.5	2.0	3.5	6.0	9.1	3.6	1.8	1.8	9.1	2.5	4.6	5.9	0.7	6.3	5.2	13.8	5.8	6.6	5.3	8.3	74.5	60.6	80.7	75.4	62.1	48.9	55.0	35.3	40.7	81.4	54.2	59.0	77.9	75.8	63.2	73.6	70.2	59.5	56.2	0.1	71.6	73.6	51.7	0.0	77.8	71.6	0.745	21.188	13.577	3.181	1.116	49.962	17.587
272107786	42.76442305	SY	180789	Control	Control	Control_Control	180789	58.7	41.6	54.3	45.7	36.6	22.4	17.7	67.1	89.1			0.5	66.4	53.8	37.9	4.9	30.1		52.1	76.0	31.7	0.0	0.8	4.7	8.4	3.9	1.5	0.8	0.8	4.1	0.0	0.8	7.1	0.0	6.5	9.9	4.6	2.7	5.3	3.5	1.8	69.9	55.3	79.3	70.5	60.6	48.1	53.1	17.8	35.9	75.5	0.0	61.5	70.7	73.2	63.8	57.6	36.7	51.2	46.8	0.0	67.2	68.1	53.2	0.9	75.8	74.3	2.892	17.448	12.874	1.705	2.492	21.881	18.035
272107812	38.83868927	SY	180790	Control	Stress	Control_Stress	180790	62.5	39.3	57.8	44.7	35.0	59.3	54.2	65.9	91.3	3.0	14.3	0.5	68.7	71.7	40.7	55.0	34.2	29.4	53.1	74.0	39.8	0.0	4.3	5.2	10.7	18.1	4.8	0.8	3.4	10.0	3.3	7.2	13.6	3.5	8.4	7.2	20.3	13.2	15.9	11.4	12.2	70.9	57.5	76.0	63.5	53.3	43.0	48.6	20.2	38.4	81.5	46.5	53.2	70.6	70.6	62.9	52.9	31.4	50.8	52.3	0.0	73.1	70.0	44.4	0.0	70.8	68.7	1.384	37.774	14.767	14.409	2.423	19.614	10.873
272107596	55.3469231	SY	180818	Dull	Control	Dull_Control	180818	61.9	43.5	59.4	50.5	36.7	37.4	29.1	64.0	92.7			0.0	65.9	65.1	44.8	47.4	42.5	53.8	46.7	69.1	38.7	0.0	5.5	6.8	14.5	19.0	7.6	3.2	1.9	10.7	11.7	6.2	13.0	0.6	7.1	10.1	13.8	7.7	15.5	8.6	7.5						45.0	34.4	15.8	63.9	79.4	31.2	61.6	77.8	66.0	52.7	68.4	65.0	47.6	51.9	0.0	67.7	72.9	59.8	0.7	74.3	78.6	2.117	24.14	10.09	4.415	3.09	23.349	11.977
