SampleID	BibB1	Band	Year	Capture	Treatment	CRHn87	CRHn86	CRHn85	CRHn84	CRHn83	CRHn82	CRHn81	CRHn80	CRHn79	CRHn78	CRHn77	CRHn76	FKBP103	FKBP104	FKBP105	FKBP106	FKBP107	FKBP108	FKBP109	FKBP110	FKBP111	FKBP112	FKBP113	CRHR107	CRHR108	CRHR109	CRHR110	CRHR111	CRHR112	CRHR113	CRHR114	CRHR115	CRHR116	CRHR117	CRHR118	CRHR119	CRHR120	CRHR121	CRHR122	CRHR123	CRHR124	CRHR125	GRn18	GRn17	GRn16	GRn15	GRn14	GRn13	GRn12	GRn11	GRn10	GRn9	GRn8	GRn7	GRn6	GRn5
170316	41.71	240150270	2017	1	Control	15.5	30.3	9.2	23.4	21.9	37.5	21.8	25.2	35.1	17.5	19.5	27.0	65.27	77.02	56.74	57.38	68.26	52.86	60.45	46.89	38.13	47.1	48.17	3.11	6.28	12.87	13.35	5.91	4.51	4.05	11.32	5.57	9.22	15.35	4.81	9.08	8.11	21.25	9.77	12.51	7.51	10.35	40.11	45.92	9.41	5.27	1.43	45.63	20.21	18.94	55.99	49.07	40.18	60.43	58.8	28.35
170317	53.79	272106604	2017	1	Dulled	11.1	18.1	5.1	15.2	16.0	24.1	11.9	13.3	22.5	13.1	17.4	28.2	42.94	54.5	35.98	35.62	48.95	33.72	40.68	30.01	23.66	21.65	22.18	3.11	7.68	10.47	15.14	5.49	3.41	2.91	11.99	6.04	5.06	13.78	5.62	11.46	7.7	20.68	7.8	9.08	7.33	9.65	47.11	53.07	25.85	6.9	4.34	48.02	24.83	25.37	66.49	50.33	46.77	1.27	67.54	28.31
170318	41.76	262125482	2017	1	Control	15.1	22.8	6.4	23.6	20.8	33.4	20.0	18.8	31.9	16.9	18.6	27.4	63.23	79.69	56.59	61.67	82.86	66.3	73.49	58.82	56.36	42.56		2.09	5.31	7.89	8.72	3.45	2.86	1.67	8.3	3.28	3.06	8.35	3.45	7.21	7.83	13.45	7.26	8.09	5.21	5.54						39.45	15.41	12.49	39.17	43.68	44.22	31.35	63.19	18.68
170319	34.83	259122567	2017	1	Dulled	17.9	24.7	1.6	20.2	19.2	31.6	16.5	18.9	28.4	19.8	19.0	24.7	47.92	55.52	37.39	36.38	56.74	44.11	50.25	36.12	38.38	34.71	30.59	2.14	7.6	10.51	11.54	6.76	3.22	2.2	9.52	6.47	5.57	9.5	6.88	12.05	10.96	18.47	10.49	14.79	13.11	16.45	34.47	55.73	31.28	12.13	3.42	49.18	24.45	22.53	60.61	56.65	53.92	35.58	65.07	31.13
170320	44.21	272107744	2017	1	Control	15.6	21.3	3.5	18.5	17.8	33.7	18.1	18.0	31.8	17.3	18.5	27.5	46.84	62.08	35.13	34.97	55.83	35.35	51.85	35.55	28.92	32.06	35.33	2.96	7.7	8.45	10.74	3.54	2.98	1.8	10.57	4.86	5.15	9.44	3.61	8.05	10.48											35.9	12.45	14.98	32.87	43.6	42.85	25.49	58.92	11.37
170321	49.64	272107743	2017	1	Dulled	15.5	22.6	9.4	21.4	17.8	32.4	18.9	17.2	31.6	14.0	18.9	21.7	57.51	72.86	50.22	48.68	61.97	49.42	51.59	39.92	36.7	38.14	37.33	2.13	4.4	9.81	11.61	4.01	3.56	2.67	10.63	10.49	5.27	12.57	6.94	14.85	7.54	19.92	8.67	14.83	9.12	7.65	45.95	47.95	21.01	9.26	1.31	46.91	24.59	23.44	54.98	52.33	44.94	64.71	61.35	30.76
170322	43.39	263114087	2017	1	Dulled	11.2	21.4	6.2	18.6	19.9	31.2	17.1	13.3	27.6	13.5	16.2	20.9	72.27	85.19	74.33	72.07	85.61	80.65	76.4	67.38	69.26	66.02	62.43	8.68	17.63	23.98	24.49	15.49	6.69	6.94	23.99	16.1	12.02	23.57	9.09	19.46	19.8	28.76	13.36	18.53	13.22	17.31	41.62	44	9	5.57	2.39	30.84	16.03	14.25	51	42.63	34.14	32.75	65.72	28.96
170323	26.8	239159871	2017	1	Control	12.5	24.5	6.7	20.2	19.0	32.9	19.8	20.9	31.9	22.5	23.5	35.9	76.5	86.33	74.27	84.51	87.12	81.76	75.82	68.95	70.57	63.41	63.42	1.69	5.8	7.85	14.1	6.11	4.25	2.3	12.04	9.48	6.65	11.35	5.29	9.56	11.52	21.28	14.47	17.41	10.31	12.56	45.82	48.62	20.02	5.17	2.35	44.94	19.2	17.54	63.64	49.4	49.64	3.44	65.46	33.76
170324	45.31	272106702	2017	1	Control	21.5	25.6	1.7	25.7	22.3	34.1	18.2	19.6	34.3	19.6	22.0	27.0	56.38	69.52	53.49	51.64	70.82	64.56	62.34	51.65	52.3	50.21	49.66	2.44	5.42	9.92	11.05	5.81	3.86	2.59	10.2	5.57	5.42	10.09	4.31	8.8	7.38	17.21	9.5	11.6	7.17	7.52	37.06	39.2	17.09	6.41	2.57	37.26	14.74	11.99	48.53	42.15	36.02	58.55	54.23	
170325	52.92	272107019	2017	1	Dulled	21.4	33.2	11.5	27.6	27.8	46.4	22.3	28.7	42.0	24.6	22.2	39.5	68.64	82.51	59.66	65.76	78.44	80.91	74.54	64.68	63.02	59.27	59.66	4.69	2.38	13.47	15.78	6.88	5.09	3.26	14.45	8.67	8.39	15.58	6.76	15.69	13.66	24.41	11.63	15.14	10.35	12.58	30.26	51.27	26.08	10.64	3.28	49.59	20.66	18.85	60.35	47.67	46.95	30.66	63.53	28.47
170326	44.94	272106703	2017	1	Dulled	12.2	22.1	1.8	16.0	16.8	24.6	15.5	15.8	26.7	14.7	15.0	17.4	61.79	78.98	55.54	53.28	71.46	50.71	54.63	44.5	36.01	35.85	31.49	3.13	6.57	11.51	13.54	6.24	3.56	2.22	12.61	6.31	6.77	9.4	4.35	10.15	7.4	17.61	8.73	10.81	8.01	9.97						28.65	21.44	15.89	50.45	42.93	33.26	70.4	65.97	
170327	29.92	185146896	2017	1	Control	21.6	25.4	4.1	23.8	22.6	33.3	16.8	21.2	31.6	21.9	21.8	28.7	53.96	67.59	44.05	49.71	60.68	57.98	60.77	46.57	48.9	46.56	46.45	2.3	4.65	9	8.13	4.15	2.9	2.14	6.81	3.38	4.82	9.89	3.88	8.75	8.68	15.09	7.44	12.69	5.65	6.13	46.11	45.88	5.96	4.16	2.37	36.12	12.99	9.97	49.04	42.97	42.13	27.49	61.86	25.64
170328	32.9	272107039	2017	1	Dulled	15.1	27.9	7.2	19.6	15.9	34.9	19.9	18.4	29.8	16.4	18.4	20.8	36.19	44.01	28.98	34.34	39.79	40.9	40.6	32.63	26.99	31.49	29.65	3.49	2.15	7.19	9.37	3.45	2.45	1.08	4.67	2.38	1.03	2.76	1.81	6.83	2.73	14.87	2.99	8.9	3.5	3.6	37.43	34.98	6.06	2.46	1.16	38.36	18.19	13.98	52.46	47.5	42.87	33.04	64.41	24.63
170329	62.55	272107624	2017	1	Control	22.2	28.2	1.7	25.9	22.3	36.3	22.0	23.6	39.1	25.7	23.5	30.2	65.02	84.19	63.81	66.4	83.75	74.11	76.04	65.47	73.2	75.64	67.47	2.96	8.7	10.78	14.84	6.7	3.16	2.04	12.08	6.65	6.26	14.52	7.07	12.7	8.46	24.28	9.88	15.35	6.52	13.08	50.77	52.91	12.49	5.62	4.17	46.26	25.96	21.36	58.01	53.5	49.51	1.89	68.1	33.63
170330	43.95	263113715	2017	1	Control	28.5	39.2	11.9	32.3	28.1	48.9	28.3	28.4	46.1	30.6	25.0	36.5	68.92	78.38	54	49.99	67.85	51.46	62.27	46.98	45.65	50.12	49.14	6.23	15.97	21.6	26.4	12.35	8.75	7.71	21.57	15.39	11.63	22.35	10.19	21.75	22.03	35.03	22.78	20.97	16.36	21.02	33.37	48.14	24.77	12.85	3.73	47.97	18.84	15.91	56.85	50.56	47.17	54.78	59.78	26.73
170331	27.43	185146883	2017	1	Dulled	18.1	24.8	8.6	21.1	18.4	35.2	17.7	20.3	29.4	17.1	19.5	28.2	75.44	82.77	61.86	64.96	79.01	65.5	66.31	54.08	53.46	49.26	50.62	2.56	3.73	5.64	6.51	2.72	2.16	1.03	6.26	2.67	3.43	6.96	3.88	9.43	6.6	11.39	7.89	7.81	5	4.15	42.73	52.82	15.08	12.35	2.55	47.55	22.82	20.82	56.01	54.95	49.97	63.79	63.89	32.21
170332	24.58	272107746	2017	1	Control	15.2	18.0	4.8	20.8	18.1	33.9	16.2	22.1	26.5	16.4	15.8	24.5	69.66	86.19	62.36	75.4	88.16	72.13	74.91	67.13	70.43	72.83	70.72	4.39	2.37	8.56	15.03	5.64	4.27	2.39	14.63	4.94	7.36	14.51	3.46	16.18	12.31	20.34	8.02	16.69	7.95	9.07						49.95	29.89	22.77	65.24	54.6	46.36	28.83	67.39	28.97
170333	47.16	262125490	2017	1	Control	26.0	29.2	2.6	25.8	28.1	41.9	19.4	23.9	34.4	21.1	21.8	25.1	55.6	75.7	45.18	44.48	65.47	57.66	50.15	39.67	35.49	35.9	29.12	3.72	9.38	11.43	12.95	5.07	5.51	3.77	4.28	3.83	3.24	9.47	2.41	11.82	9.39	18.45	7.46	8.51	7.27	5.57	41.01	65.63	21.28	14.45	5.81	50.58	27.96	30.95	66.18	54.29	53.42	35.05	58.71	41.39
170334	31.8	262125950	2017	1	Dulled	11.0	19.1	6.1	16.3	18.1	24.3	16.7	15.5	25.6	13.3	15.4	24.0	62.72	80.96	50.75	65.74	79.52	68.67	66.48	54.96	49.09	51.02	48.7	3.63	10.37	12.67	14.51	7.51	3.98	0	13.4	7.87	5.59	10.68	5.57	12.08	11.49						47.64	54.49	8.14	5.17	2.76	46.76	23.93	22.12	60.58	52.96	49.77	34.3	67.28	35.68
170335	39.24	88004754	2017	1	Dulled	15.7	26.1	4.4	19.5	19.8	31.7	17.0	21.7	33.4	18.1	18.8	26.1	62.06	84.84	66.13	76.86	86.35	82.95	76.99	70.63	71.27	65.25	62.25	2.59	3.94	7.97	10.03	4.45	2.88	2.12	7.51	4.44	2.71	8.55	3.67	9.25	6.56	15.61	5.76	7.13	6.08	5.54						49.35	27.62	26.68	68.97	52.71	42.37	69.83	63.07	38.69
170336	48.63	272106605	2017	1	Control	11.7	24.6	2.1	18.1	16.5	25.5	12.6	15.4	21.9	7.0	9.0	15.2	50.84	66.72	45.67	50.84	68.16	55.85	55.68	49.68	43.28	41.68	38.94															13.35	5.83	7.24	0	5.44	35.29	37.61	1.76	2.61	0	22.79	8.49	10.97	38.82	36.44	34.87	51.28	42.22	17.7
170337	39.32	272107745	2017	1	Control	11.3	19.7	4.5	13.8	15.2	26.7	13.5	13.3	23.8	12.3	12.7	16.2	49.95	65.66	41.34	40.54	54.97	46.37	49.84	40	36.63	37.74	40.35	3.23	6.55	10.39	11.44	4.24	3.95	2.18	9.14	6.91	5.33	9.34	4.52	9.85	9.78	16.75	7.12	10.63	6.5	6.06	46	45.77	2.48	7.3	2.76	43.54	23.59	19.57	60.44	51.04	48.54	61.33	64.15	30.73
170338	49.05	262125455	2017	1	Dulled	14.7	23.9	7.0	22.5	19.1	36.6	16.3	17.5	29.0	14.9	18.7	25.9	67.18	80.85	61.75	59.7	77.45	63.58	70.29	58.45	56.87	58.65	53.94	0	5.94	14.33	16.03	6.04	4.52	0	16.57	7.19	7.34	12.63	4.82	11.18	9.47						44.27	40.91	1.95	0	0	31.61	12.66	12.73	43.21	41.12	37.48	59.25	52.03	25.32
170339	41.94	272107217	2017	1	Dulled	17.6	28.0	10.4	23.6	27.4	39.8	21.0	22.0	32.3	19.2	18.2	24.2	78.49	84.15	65.09	72.34	78.02	72.7	71.65	59.87	65.21	63.58	62.76	2.36	5.29	10.25	11.79	3.75	3.59	2.1	14.37	7.69	8.54	14.84	8.42	13.98	11.56	26.5	15.84	23.87	13.52	13.25						45.04	26.78	18.69	59.96	49.24	38.15	29.52	71.09	35.98
170340	47.75	272107739	2017	1	Dulled	18.0	26.3	3.2	22.9	22.8	38.1	14.5	18.0	32.8	12.9	13.6	16.9	67.46	82.47	65.02	66.41	82.79	59.99	68.76	59.63	63.22	61.69	55.85	0	7.62	10.71	12.98	6.42	0	0	10.75	6.7	5.56	9.97	0	10.58	6.13	16	7.47	11.81	6.81	5.63	35.27	37.53	13.17	4.68	0	37.86	15.96	12.19	47.01	44.31	40.52	26.47	53.1	22.22
170342	25.09	272106705	2017	1	Dulled	16.6	23.5	4.5	22.5	19.7	30.7	21.5	14.9	33.3	14.6	15.2	21.5	74.69	89.44	73.05	84.42	93.38	90.65	83.47	75.1	81.73	80.09	74.64	3.26	8.15	10.56	14.74	8.1	4.31	2.53	13.56	7.2	8.4	11.59	5.69	14.79	11.79	23.69	12.98	13.91	8.94	9.81	46.65	46.2	2.19	1.87	1.25	29.14	13.58	11.68	44.96	43.87	37.47	60.41	63.6	24.86
170343	38.04	232146988	2017	1	Dulled	13.1	27.6	3.5	18.5	17.5	27.3	14.8	13.7	25.2	10.2	13.7	15.4	67.67	92.37	70.97	72.52	82.86	82.39	73.86	70.63	64.56	61.81	57.91	0.94	5.64	9.38	9.48	2.88	4.21	2.53	11.81	8.69	6.63	10.91	4.85	12.79	7.41	17.18	5.99	10.33	5.34	8.68	49.24	54.56	13.4	8.29	1.85	46.12	19.64	23.16	54.79	51.82	48.24	33.64	63.91	28.69
170344	37.27	272107604	2017	1	Control	18.2	30.7	6.1	26.1	26.4	33.3	18.9	20.5	31.0	15.2	13.9	18.9	51.17	77.42	55.86	52.12	70.67	58.18	64.98	54.24	51.65	52.89	56.2	3.55	3.63	7.88	12.91	5.02	1.59	2.38	7.78	5.46	3.83	8.73	6.07	8.41	10	19.02	9.36	11.8	6.39	7.44	31.99	34.11	4.85	3.75	0	27.19	11.38	9.45	44.73	35.47	38.79	60.3	50.34	23.69
170345	36.56	263114035	2017	1	Control	10.1	16.7	7.4	15.4	18.5	23.2	13.7	13.4	24.5	10.6	13.1	18.1	64.75	81.11	61.66	60.3	81.63	73.61	75.38	69.44	60.87	63.21	59.62	3.23	8.43	15.71	19.71	7.81	4.28	3.71	16.4	9.27	10.44	16.23	6.94	16.04	12.91	25	12.49	19.42	9.51	12.68	36.85	37.86	2.01	2.67	0	7.93	7.41	5.64	34.3	32.14	27.16	52.57	57.93	27.11
170346	34.07	272107625	2017	1	Dulled	10.0	19.6	0.0	17.3	14.8	21.5	14.1	13.9	23.6	9.5	11.6	16.2	51.07	61.87	41.84	45.41	63.01	50.89	52.61	41.82	41.18	44.6	42.11	3.02	6.02	10.05	13.41	7.52	3.93	2.59	12.15	5.87	5.71	12.08	4.51	10.17	7.97	19.44	11.46	8.1	7.08	8.37	45.51	45.94	10.91	8.5	0	35.59	24.03	16.75	54.81	49.31	36.14	67.38	55.49	33.18
170347	44.14	272107403	2017	1	Control	15.8	22.6	7.6	22.7	18.0	37.8	18.8	16.2	28.5	15.9	16.8	23.8	73.29	86.57	67.94	73.95	84	77.02	74.18	68.67	60.36	62.46	63.76	2.05	7.67	9.62	8.98	4.78	2.75	1.8	9.83	5.05	5.23	10.03	3.5	7.39	9.47	20.05	9.39	9.66	6.46	7.65	41.33	48.05	10.42	5.56	2.72	34.24	16.71	15.96	50.77	44.76	36.14	32.12	63.71	21.95
170348	45.17	272106704	2017	1	Dulled	10.9	22.3	0.0	12.4	9.7	29.2	12.6	17.9	28.4	15.2	19.6	17.9	55.56	75.71	52.14	52.31	79.78	56.53	68.61	54.62	56.13	62.07	51.61	3.99	1.21	14.64	16.47	6.39	3.26	0	15.05	8.16	7.69	10.8	5.27	11.28	9.13	22.55	6.35	15.13	7.91	10.96	48.66	38.98	0	4.87	4.65	25.67	13.48	8.53	55.27	42.27	35.18	66.32	61.78	31.55
170349	19.65	272107068	2017	1	Control	14.2	20.1	4.1	13.9	16.6	22.9	11.7	11.7	21.3	13.8	15.5	19.2	67.28	84.37	56.42	68.56	87.37	70.69	69.87	58.78	56.14	57.74	47.43	2.71	5.38	10.17	13.12	3.64	4.56	2.36	11.84	6.33	8.67	12.78	5.74	9.77	8.91	17.09	9.29	7.48	7.43	4.05	40.24	44.59	18.25	8.01	2.33	45.68	14.74	17.14	46.87	45.11	38.53	57.93	58.19	28.61
170350	31.92	272106706	2017	1	Dulled	12.0	16.1	3.0	13.9	14.5	23.5	12.8	12.8	19.1	10.4	10.8	14.2	65.82	85.41	63.36	73.74	82.22	82.32	78.4	67.66	72.11	72.98	65.28	3.57	10.92	18.43	16.43	8.13	4.37	2.59	14.17	8.8	7.58	13.03	6.28	11.93	11.47						24.14	55.98	28.09	13.48	2.64	49.86	22.94	19.92	58.5	50.26	43.76	62.82	63.01	36.39
170352	35.23	272107747	2017	1	Dulled	19.1	27.1	8.0	19.2	16.3	32.0	17.0	19.8	27.7	16.4	15.1	21.9	49.15	66.89	45.09	47.28	67.02	53.47	66.83	50.02	53.24	52.85	49.88	1.69	3.15	9.5	9.87	3.26	3.34	2.23	8.56	4.73	4.88	9	4.74	10.31	9.02	19.51	10.12	11.54	7.52	8.46	46.94	47.33	2.43	7.5	0	43.31	18.78	21.12	51.48	44.23	42.37	62.41	58.47	31.08
170353	50.18	232146953	2017	1	Control	18.2	24.8	9.7	22.8	24.2	33.9	20.4	22.9	30.7	16.5	18.6	27.1	71.53	85.07	68.92	79.65	83.45	79.37	74.98	64.49	62.63	65.84	64.82	0	7.2	10.96	15.54	5.88	4.52	2.39	11.41	8.78	6.87	13.95	5.71	13.56	13.8	21.7	9.54	13.08	8.6	10.93	50.12	52.72	2.04	4.48	1.68	41.91	23.24	21.15	59.84	47.12	39.89	70.32	65.68	39.2
170354	13.25	272107748	2017	1	Control	11.7	21.8	1.7	18.3	14.4	24.3	14.7	18.2	19.3	15.1	12.7	15.3	57.23	70.06	54.52	50.24	66.5	57.34	61.46	47.76	42.35	42.98	48.18	3.07	6.02	11.69	12.11	5.09	3.98	2.27	12.19	6.38	5.67	11.06	4.48	9.58	7.95	15.86	7.87	9.75	5.42	7.08	36.22	54.46	27.87	11.76	4.14	49.83	23.81	21.53	58.64	50.48	48.3	34.25	65.21	32.59
170355		272107750	2017	1	Dulled	10.3	21.1	4.1	16.8	16.1	24.3	13.3	14.8	24.4	12.2	15.6	23.6	69.17	85.56	67.35	73.69	83.4	82.65	79.52	70.7	68.79	71.75		3.9	2.5	17.86	22.87	8.73	5.58	5	19.45	12.9	10.05	19.94	7.54	19.45	15.57						43.63	48.68	7.24	8.46	2.64	44.89	19.7	18.3	57.63	48.38	48.11	35.09	70.48	33.88
170356	45.68	272107749	2017	1	Control	13.2	21.8	6.3	15.7	17.0	29.3	17.3	15.5	26.2	15.9	15.8	33.1	56.1	70.41	51.21	52.16	61.02	54.27	53.26	44.46	42.8	45.8	45.54	0	4.28	7.53	9.88	3.79	3.24	0	9.06	4.47	3.98	8.11	3.55	9.01	8.43	15.17	6.7	10.6	5.19	5.66	44.28	47.96	6.54	3.64	2.85	38.69	16.66	15.23	56.97	46.79	45.3	30.3	58.4	26.66
170357	25.35	272107751	2017	1	Dulled	9.9	17.8	1.5	15.9	12.3	22.3	13.3	15.1	28.6	15.6	18.8	28.0	53.51	75.08	53.79	51.56	73.24	56.98	57.04	48.18	44.17	40.11	31.47	1.52	3.84	8.69	9.76	4.53	2.89	2.51	8.93	4.91	4.1	7.93	3.15	7.7	6.9	13.7	6.75	8.64	3.87	6.26	40.39	46.24	7.96	6.22	0	27.86	16.16	14.75	52.87	45.38	40.49	33.7	64.41	36.59
170361	50.96	272107752	2017	1	Dulled	16.0	28.3	5.7	23.6	19.3	31.0	12.2	21.7	32.2	13.9	21.4	24.6	68.92	81.56	63.27	67.69	81.47	74.6	75.9	61.77	54.52	52.46	58.51	8.09	11.48	15.64	22.88	11.4	7.89	4.75	19.81	12.74	10.88	17.24	7.33	21.13	8.16	31.7	15.34	10.46	13.19	12.52	43.35	51.87	2.13	5.58	0	32.95	16.63	13.57	54.01	43.76	42.26	33.44	62.16	27.58
170362	31.57	272106707	2017	1	Control	13.6	20.0	3.7	18.3	15.1	28.1	15.4	13.9	26.7	15.3	15.3	20.0	47.65	56.49	42.29	48.27	53.58	46.75	43.44	35.8	34.48	31.92	28.27	2.68	4.18	6.74	10.42	4.23	3.15	1.05	8.34	2.76	3.58	9.18	3.84	7.53	5.08	16.65	5.9	7.27	6.05	5.18	45.05	48.85	19.32	6.24	4.94	48.74	21.85	19.09	59.55	56.72	50.26	1.88	60.76	23.11
170363	43.38	272107753	2017	1	Control	14.0	22.4	0.0	15.1	15.1	22.9	11.7	14.7	28.3	12.5	15.0	14.5	61.21	77.51	51.83	64.02	76.09	60.09	70.51	55	60.24	60.81	55.95	0	3.09	6.49	9.73	4.35	3.07	0	6.89	4.51	4.95	10.15	0	8.45	6.04	11.59	6.33	8.29	4.56	3.97	36.26	38.81	8.64	3.57	0	29.59	16.36	10	44.66	43.05	39.56	26.63	56.19	20.19
170364	49.44	272106708	2017	1	Control	31.5	29.2	9.7	19.3	30.0	35.6	16.5	4.2	46.1	4.8	31.2	35.4	62.23	90.16	92.6	99.08	94.19	85.05	74.39	73.95	61.43	62.46	61.15	9.62	2.5	7.04	12.6	7.37	2.48	0	18.12	13.71	4.35	9.06	3.54	21.02	10.31	29.28	1.65	5.16	5.92	8.76						50.42	27.56	26.97	54.76	58.58	46.5	30.49	57.56	25.78
170367	26.7	272106710	2017	1	Control	13.0	18.4	0.0	18.4	14.6	25.4	13.4	13.6	27.7	12.5	14.4	16.7	73.44	87.36	70.39	78.46	89.16	85.98	80.8	72.54	75.49	75.52	64.59															9.83	5.7	8.19	3.47	4.16						50.06	20.79	18.32	48.18	54.8	48.29	31.85	61.58	30.76
170368	38.58	212110275	2017	1	Control	15.7	20.4	4.0	17.5	18.0	28.6	16.3	17.4	28.7	14.7	16.4	24.1	75.71	84.44	59.91	69.57	80.24	60.92	72.28	63.9	64.71	60.62	58.78	3.61	4.81	9.37	9.42	3.24	3.44	2.04	9.31	4.76	5.09	8.59	3.84	7.39	6.25	13.55	7.43	7.63	4.44	3.77	38.3	41.76	2.39	5.26	0	32.99	17.8	16.45	54.43	44.93	40.77	32.5	71.1	37.38
